board: 0 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 1 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 506 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 507 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 508 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 509 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 510 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 511 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 512 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 513 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 514 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 515 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 516 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 517 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 518 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 519 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 520 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 521 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 522 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 523 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 524 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 525 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 526 dimension: 6 filled tiles: 0
type1 = 5, type2 = 0, type3 = 0, type4 = 0, type5 = 0board: 527 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 528 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 529 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 530 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 531 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 532 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 533 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 534 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 535 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 536 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 537 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 538 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 539 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 540 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 541 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 542 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 543 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 544 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 545 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 546 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 547 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 548 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 549 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 550 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 551 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 552 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 553 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 554 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 555 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 556 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 557 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 558 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 559 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 560 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 561 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 562 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 563 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 564 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 565 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 566 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 567 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 568 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 569 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 570 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 571 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 572 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 573 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 574 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 575 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 576 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 577 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 578 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 579 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 580 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 581 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 582 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 583 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 584 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 585 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 586 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 587 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 588 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 589 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 590 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 591 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 592 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 593 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 594 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 595 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 596 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 597 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 598 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 599 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 600 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 601 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 602 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 603 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 604 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 605 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 606 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 607 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 608 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 609 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 610 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 611 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 612 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 613 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 614 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 615 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 616 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 617 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 618 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 619 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 620 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 621 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 622 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 623 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 624 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 625 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 626 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 627 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 628 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 629 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 630 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 631 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 632 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 633 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 634 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 635 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 636 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 637 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 638 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 639 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 640 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 641 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 642 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 643 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 644 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 645 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 646 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 647 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 648 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 649 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 650 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 651 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 652 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 653 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 654 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 655 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 656 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 657 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 658 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 659 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 660 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 661 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 662 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 663 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 664 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 665 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 666 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 667 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 668 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 669 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 670 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 671 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 672 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 673 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 674 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 675 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 676 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 677 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 678 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 679 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 680 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 681 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 682 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 683 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 684 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 685 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 686 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 687 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 688 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 689 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 690 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 691 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 692 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 693 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 694 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 695 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 696 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 697 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 698 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 699 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 700 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 701 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 702 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 703 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 704 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 705 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 706 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 707 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 708 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 709 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 710 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 711 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 712 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 713 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 714 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 715 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 716 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 717 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 718 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 719 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 720 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 721 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 722 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 723 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 724 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 725 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 726 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 727 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 728 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 729 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 730 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 731 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 732 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 733 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 734 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 735 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 736 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 737 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 738 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 739 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 740 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 741 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 742 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 743 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 744 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 745 dimension: 6 filled tiles: 0
type1 = 3, type2 = 1, type3 = 0, type4 = 0, type5 = 0board: 746 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 747 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 748 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 749 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 750 dimension: 6 filled tiles: 0
type1 = 2, type2 = 0, type3 = 1, type4 = 0, type5 = 0board: 751 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 752 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 753 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 754 dimension: 6 filled tiles: 0
type1 = 1, type2 = 2, type3 = 0, type4 = 0, type5 = 0board: 755 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 756 dimension: 6 filled tiles: 0
type1 = 1, type2 = 0, type3 = 0, type4 = 1, type5 = 0board: 757 dimension: 6 filled tiles: 0
type1 = 0, type2 = 1, type3 = 1, type4 = 0, type5 = 0board: 758 dimension: 6 filled tiles: 0
